date,open,close,high,low,volume,code,pct_change,上游,债务,股东,投资,并购,同行,概念,集团,高管,诉讼,下游,产品,上游上游,债务债务,股东同行,股东下游,股东股东,投资投资,投资债务,并购并购,同行债务,概念下游,概念债务,概念同行,概念概念,集团集团,集团股东,集团同行,高管高管,诉讼诉讼,诉讼高管,上游同行,下游下游,股东集团,投资下游,同行同行,同行概念,同行产品,同行下游,同行上游,同行集团,产品同行,产品概念,产品产品,产品下游,产品股东,产品债务,概念产品,概念集团,概念上游,概念股东,概念并购,下游债务,下游诉讼,下游同行,债务投资,债务集团,债务并购,投资集团,投资并购,并购投资,并购债务,并购集团,同行股东,概念诉讼,集团债务,集团投资,集团并购,下游并购,债务股东,股东债务,概念投资,上游债务,上游下游,债务下游,集团上游,股东诉讼,并购股东,同行诉讼,诉讼股东,诉讼债务,诉讼下游,诉讼同行,下游上游,债务同行,并购同行,高管诉讼,下游概念,债务诉讼,投资诉讼,并购诉讼,债务概念,投资上游,同行并购,高管债务,产品上游,债务上游,高管下游,诉讼概念,股东上游,股东并购,并购上游,产品集团,上游投资,下游集团,股东概念,股东产品,并购下游,上游集团,股东投资,集团诉讼,集团概念,上游并购,下游投资,债务产品,上游股东,下游股东,上游诉讼,诉讼上游,集团下游,上游概念,债务高管,同行投资,投资股东,下游产品,并购概念,产品并购,诉讼集团,诉讼并购,下游高管,并购产品,投资同行,上游产品,诉讼投资,产品诉讼,投资概念,集团产品,RSV,K,D,J,EMA12,EMA26,DIF,DEA,MACD,OBA,RSI,PSY,AR,BR,CR,BIAS_6,BIAS_12,BIAS_24,CCI,WR,M_TRIX,target
2012/6/21,5.031,4.952,5.151,4.938,637196,1,-0.017070266,0,0,-0.084032793,0,0,-0.061700931,-1.151135038,-0.028010931,0,0,0,0,0.077451807,0,-0.123459863,-0.01332853,-0.022707064,0,-0.045547962,0,-0.595085341,-0.044702297,-0.079834025,-0.123459863,0.04092212,-0.028010931,-0.024641609,-0.123459863,0,0,0.012317799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.572769953,30.10789308,32.82071018,24.6822589,5.199350953,5.261408513,-0.06205756,0.004032737,-0.132180592,-553433.1455,-102.0080321,4,66.2012987,0.920825516,93.41772152,-0.033818939,-0.061113569,-0.07970358,10332.77778,83.08906426,-0.215158386,0.017366721
2012/6/29,4.945,5.038,5.061,4.885,666458,1,0.017366721,0,0,0.064916156,0,0,0.040135212,-0.456019496,0.021638719,0,0,0,0,-0.114518227,0,0.051543734,-0.019532676,0.019550348,0,-0.061711712,0,-1.223129004,-0.035471331,-0.102272727,0.051543734,-0.03030984,0.021638719,0.000162876,0.051543734,0,0,-0.064895559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.93181818,49.04920145,38.23020727,70.68718981,5.17452773,5.244859734,-0.070332004,-0.010840212,-0.118983586,492270.1136,-209.8939929,4,68.63057325,0.938140556,91.81199291,-0.007274339,-0.040624603,-0.06263591,-197.6705846,73.3934611,-0.286625003,-0.00138944
2012/7/6,5.061,5.031,5.144,4.902,745391,1,-0.00138944,0,0,0.032876308,0,0,-0.255832727,-0.711283145,0.010958769,0,0,0,0,0.027064951,0,0.114863268,0.038354124,0.103810405,0,0.159684469,0,-0.095025748,-0.021545161,-0.064094836,0.114863268,-0.019413909,0.010958769,-0.057073877,0.114863268,0,0,0.013012362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.30578512,50.46806267,42.3094924,66.78520322,5.152446541,5.229018272,-0.076571732,-0.023986516,-0.105170432,49282.04959,-312.6315789,4,67.83873901,0.930613668,93.37343989,-0.00336767,-0.037305757,-0.063004897,-100.6736635,72.34299517,-0.304810157,-0.010534685
2012/7/13,5.005,4.978,5.031,4.869,665535,1,-0.010534685,0,0,-0.080497764,0,0,-0.598803869,-2.806102496,-0.026832588,0,0,0,0,-0.151252523,0,-0.088097694,0.01183432,-0.041345791,0,-0.060903013,0,-0.926010975,-0.033012949,-0.006440532,-0.088097694,-0.094053426,-0.026832588,-0.017399336,-0.088097694,0,0,-0.085420681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.28395062,56.07335866,46.89744782,74.42518033,5.125608611,5.210424326,-0.084815715,-0.036152356,-0.097326719,230061.4815,-149.1071429,3,68.98232785,0.875549543,88.49519925,-0.00645333,-0.04050885,-0.06870949,-97.2123693,76.87253614,-0.357042796,-0.008638007
2012/7/20,4.985,4.935,5.018,4.925,518812,1,-0.008638007,0,0,0.081968032,0,0,-0.113269052,0.074507444,0.027322677,0,0,0,0,-0.145573969,0,0.030724264,-0.014708488,-0.092129153,0,0.014200463,0,-0.450177607,-0.018720186,-0.007346586,0.030724264,0.006401118,0.027322677,-0.002501193,0.030724264,0,0,0.065308989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.75268817,40.96646849,44.92045471,33.05849606,5.09628421,5.190022524,-0.093738315,-0.047669547,-0.092137535,-407239.5269,-82.57261411,3,64.9924357,0.831709775,85.06702868,-0.011913104,-0.040474416,-0.07200865,-77.36258629,76.58450704,-0.443063943,-0.00668693
2012/7/27,4.905,4.902,4.975,4.855,532403,1,-0.00668693,0,0,-0.096562454,0,0,-0.255016669,-1.451028519,-0.032187485,0,0,0,0,-0.03480496,0,-0.196923682,-0.025,-0.130096892,0,-0.218539866,0,-0.920717858,-0.042072732,0.040922943,-0.196923682,-0.163144871,-0.032187485,-0.154896055,-0.196923682,0,0,-0.067897165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.16666667,40.36653455,43.40248132,34.29464101,5.066394331,5.168687523,-0.102293191,-0.058594276,-0.08739783,-115353.9833,-50.16447368,3,66.72879776,0.658016682,64.31687715,-0.015794405,-0.036722262,-0.072900496,-72.21191404,80.46875,-0.478924007,0.027131783
2012/8/3,4.905,5.035,5.058,4.905,576891,1,0.027131783,0,0,-0.029691032,0,0,0.416459607,-0.462958641,-0.009897011,0,0,0,0,-0.101526736,0,-0.172611655,-0.025825493,-0.006163265,0,-0.287659574,0,-0.463670859,-0.02336051,-0.052697616,-0.172611655,-0.081752015,-0.009897011,-0.110091088,-0.172611655,0,0,-0.007072136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.96732026,55.23346312,47.34614192,71.00810552,5.061564434,5.158784743,-0.097220309,-0.066319483,-0.061801653,403446.6471,-93.58974359,4,71.90430003,0.705259782,67.2933218,0.011636668,-0.003208803,-0.043574959,-31.53498902,53.58565737,-0.462021096,-0.004568024
2012/8/10,5.028,5.012,5.058,4.955,621926,1,-0.004568024,0,0,0.053734524,0,0,0.161703165,1.358597913,0.017911508,0,0,0,0,0.156942753,0,0.092468815,0.007763681,0.051005402,0,0.144018583,0,2.174863035,0.066126316,0.085430464,0.092468815,0.217211966,0.017911508,0.065150961,0.092468815,0,0,0.040360874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.33980583,55.26891069,49.98706485,65.83260238,5.053939137,5.147911799,-0.093972663,-0.071850119,-0.044245088,66419.28155,-71.71903882,3,74.61002323,0.725483765,68.36546924,0.006055334,-0.003256519,-0.043671143,-15.72851004,46.96969697,-0.431279701,-0.001396648
2012/8/17,5.018,5.005,5.085,4.938,655313,1,-0.001396648,0,0,-0.215343203,0,0,-0.149327617,-2.087805999,-0.071781068,0,0,0,0,-0.230487948,0,-0.282017087,-0.007703871,-0.13833185,0,-0.070959122,0,-1.296962842,-0.037615248,-0.049623754,-0.282017087,-0.190505571,-0.071781068,0.057002737,-0.282017087,0,0,-0.002282063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.57823129,52.03868422,50.67093797,54.77417673,5.046410039,5.13732574,-0.090915701,-0.075663235,-0.030504932,-57952.85034,-121.630094,3,78.27118644,0.78877551,73.29269297,0.00581113,-0.00140495,-0.039654621,-8.706237469,41.83381089,-0.39197,-0.045754246
2012/8/24,4.982,4.776,4.985,4.772,730664,1,-0.045754246,0,0,-0.054132431,0,0,-0.176079893,-1.857428899,-0.018044144,0,0,0,0,-0.120874124,0,-0.144878762,-0.079530392,-0.030813497,0,0.118942218,0,-0.417547563,-0.019690763,-0.031457308,-0.144878762,0.12397242,-0.018044144,0.085975732,-0.144878762,0,0,0.016010979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.877934272,35.31843424,45.55343673,14.84842926,5.004808494,5.11056087,-0.105752376,-0.081681064,-0.048142625,-703221.2207,-86.60714286,2,74.95870499,0.68877551,64.89452791,-0.036578806,-0.041701502,-0.077420861,-51.77474873,98.94459103,-0.410211519,-0.012562814
2012/8/31,4.772,4.716,4.805,4.663,571842,1,-0.012562814,0,0,-0.148318294,0,0,0.151407082,-1.588563888,-0.049439431,0,0,0,0,-0.11496638,0,-0.031825563,-0.028800658,-0.162885942,0,0.066251298,0,-1.768719497,-0.022357513,-0.071365444,-0.031825563,-0.210507933,-0.049439431,-0.059172135,-0.031825563,0,0,-0.07429086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.32394366,35.98693738,42.36460361,23.23160492,4.960376418,5.081334139,-0.120957721,-0.089536395,-0.062842652,-144974.0282,-81.68421053,2,68.02588997,0.615935263,53.42789598,-0.04172311,-0.048794016,-0.083211159,-78.10205172,88.98128898,-0.452022353,0.001272265
2012/9/7,4.726,4.722,4.786,4.5,866371,1,0.001272265,0,0,0.247166446,0,0,-0.030364892,4.335500379,0.082388815,0,0,0,0,0.411451975,0,0.338329052,0.05401398,0.16673532,0,0.044110016,0,2.788547069,0.096092926,0.205805377,0.338329052,0.239118559,0.082388815,0.083164157,0.338329052,0,0,0.082684825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.62237762,49.86541746,44.8648749,59.86650259,4.923703123,5.054716796,-0.131013673,-0.097831851,-0.066363644,478624.5385,-65.3256705,2,68.68186323,0.617358252,50.39764359,-0.034635501,-0.043363019,-0.077174882,-83.58591985,65.52795031,-0.501182672,-0.011224058
2012/9/14,4.719,4.669,4.729,4.606,682379,1,-0.011224058,0,0,-0.072715675,0,0,-0.092238887,-0.534324321,-0.024238558,0,0,0,0,-0.074311392,0,0.00268689,-0.014871383,-0.044420759,0,0.044249162,0,0.228408376,0.055531643,-0.004538279,0.00268689,0.009507717,-0.024238558,0.01597189,0.00268689,0,0,0.053683738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.2195122,50.31678237,46.68217739,57.58599234,4.884518027,5.026145181,-0.141627154,-0.106590911,-0.070072485,16643.39024,-134.7826087,2,70.20689655,0.625288113,55.36669814,-0.036408978,-0.049325528,-0.08321402,-83.22456946,71.11111111,-0.549894656,-0.083315485
